algorithm,M,H,J,rms,feasible,diverged
GWO,63.0,1.6625,1956.8402889631104,0.050841084524812674,True,False
GWO,63.0,1.75,2092.9155513098713,0.04812944873799103,True,False
GWO,63.0,1.8375,2260.618899172318,0.04585176775581026,True,False
GWO,66.5,1.6625,2079.057128582751,0.048797436861028796,True,False
GWO,66.5,1.75,2242.9691458360053,0.046238909478016954,True,False
GWO,66.5,1.8375,2443.155933121276,0.04424681144312506,True,False
GWO,70.0,1.6625,2216.1066828108724,0.046962658483007014,True,False
GWO,70.0,1.75,2410.4059778720734,0.04463708263960153,True,False
GWO,70.0,1.8375,2645.7655425429302,0.04302298831929896,True,False
GWO,73.5,1.6625,2368.2496908874036,0.045367752356750356,True,False
GWO,73.5,1.75,2595.389902280354,0.04335904108779681,True,False
GWO,73.5,1.8375,2868.562407157984,0.04221363260118472,True,False
GWO,77.0,1.6625,2535.658500222393,0.04404273478505834,True,False
GWO,77.0,1.75,2798.0292249641375,0.04243533228670768,True,False
GWO,77.0,1.8375,3111.6262751639465,0.041841752779611496,True,False
PSO-t,63.0,1.6625,1924.5915234251247,0.04891835234791051,True,False
PSO-t,63.0,1.75,2060.6019075713266,0.0460035136052109,True,False
PSO-t,63.0,1.8375,2229.088952752133,0.04354610105279171,True,False
PSO-t,66.5,1.6625,2046.5725287294454,0.046735062004901955,True,False
PSO-t,66.5,1.75,2210.942233247676,0.04397378142692089,True,False
PSO-t,66.5,1.8375,2412.4801146595046,0.04182015043267841,True,False
PSO-t,70.0,1.6625,2183.666014779617,0.04476496177874687,True,False
PSO-t,70.0,1.75,2378.9365637991245,0.042246604698491945,True,False
PSO-t,70.0,1.8375,2616.258865843238,0.040503056487143016,True,False
PSO-t,73.5,1.6625,2336.081811718895,0.04304363391272316,True,False
PSO-t,73.5,1.75,2564.7436314896217,0.04086394152725341,True,False
PSO-t,73.5,1.8375,2840.5212783050997,0.039635604481071354,True,False
PSO-t,77.0,1.6625,2503.9842725178423,0.04160650223314687,True,False
PSO-t,77.0,1.75,2768.461745264886,0.03986311058319915,True,False
PSO-t,77.0,1.8375,3085.3203206397975,0.03924594913357384,True,False
ACOR,63.0,1.6625,2185.9222899812585,0.061207080123958535,True,False
ACOR,63.0,1.75,2319.5706001063927,0.05852929020875688,True,False
ACOR,63.0,1.8375,2485.6518421770734,0.05622754251009325,True,False
ACOR,66.5,1.6625,2305.6750557010955,0.05918203501461092,True,False
ACOR,66.5,1.75,2467.489316357212,0.0566192329182593,True,False
ACOR,66.5,1.8375,2667.13729855224,0.05456209857992658,True,False
ACOR,70.0,1.6625,2440.473647161016,0.0573327415960692,True,False
ACOR,70.0,1.75,2633.387805942845,0.054959982005122164,True,False
ACOR,70.0,1.8375,2869.7341080006295,0.053235012346243595,True,False
ACOR,73.5,1.6625,2590.7259114143358,0.05568729352803624,True,False
ACOR,73.5,1.75,2817.595394305903,0.053583399759920144,True,False
ACOR,73.5,1.8375,3093.6777360496894,0.05227684509933664,True,False
ACOR,77.0,1.6625,2756.749312933703,0.05427283216055521,True,False
ACOR,77.0,1.75,3020.3475972607102,0.05251755146812106,True,False
ACOR,77.0,1.8375,3339.11444544839,0.051710042005089434,True,False
